epoch,model_name,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_tp,train_fp,train_tn,train_fn,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_tp,val_fp,val_tn,val_fn,epoch_time_seconds
1,MLC-19k,1.312696805367103,39.30635838150289,0.4409225682356347,0.41686987788923674,0.35699197741718053,204,315,1242,315,1.2397116036976086,41.08527131782946,0.39127291743570813,0.4418521394064872,0.3938131313131313,53,76,311,76,35.73979830741882
2,MLC-19k,1.1289883815325223,53.94990366088632,0.5219530525607093,0.5342634840974106,0.5138151580913186,280,239,1318,239,1.1135933048584883,48.837209302325576,0.5275278221624197,0.4962732919254659,0.4351718371583439,63,66,321,66,36.06042408943176
3,MLC-19k,1.020119194801037,57.22543352601156,0.597556216931217,0.5491343178691463,0.5264079880211323,297,222,1335,222,1.020110102260814,55.81395348837209,0.7200626381724392,0.5353045203588681,0.5146134059177537,72,57,330,57,35.71891951560974
4,MLC-19k,0.9193724687282856,61.657032755298644,0.7552686307157987,0.5765654347726826,0.5332621070868739,320,199,1358,199,0.956128262421664,58.139534883720934,0.741421568627451,0.5473516218081435,0.53125,75,54,333,54,36.227115631103516
5,MLC-19k,0.8796350286557124,60.308285163776496,0.6591660790190201,0.5502211016769137,0.5289876246444124,313,206,1351,206,0.8917865122065824,59.68992248062015,0.5016458384382912,0.5521135265700483,0.5220576735092864,77,52,335,52,35.795676708221436
6,MLC-19k,0.8377565934107853,62.6204238921002,0.6608661565660957,0.5869315844223909,0.5801983906903431,325,194,1363,194,0.9057177059790668,62.01550387596899,0.6724631751227497,0.5938362663906143,0.578942664161292,80,49,338,49,37.03502345085144
7,MLC-19k,0.8008990993866554,63.77649325626204,0.6705103359173127,0.5932314258034673,0.5837309051102155,331,188,1369,188,0.9181481389438405,65.89147286821705,0.6852163461538462,0.6301457902001381,0.6281717579314792,85,44,343,44,36.493300914764404
8,MLC-19k,0.7674048034044413,68.59344894026975,0.6997237965487471,0.6537354468626606,0.6611025309641168,356,163,1394,163,0.8419028958853554,68.9922480620155,0.6994580109606706,0.6666968599033817,0.6728974527887571,89,40,347,40,35.2356173992157
9,MLC-19k,0.749913162451524,70.71290944123314,0.7108084199165793,0.6816392997738837,0.6894827809006914,367,152,1405,152,0.8732056547613705,64.34108527131784,0.6202248844052123,0.617645790200138,0.6072389804978595,83,46,341,46,36.2007954120636
10,MLC-19k,0.7329744554482973,67.63005780346822,0.6870691756419369,0.656444796048622,0.6669343241786587,351,168,1389,168,0.8057406755054698,66.66666666666666,0.6668606612685559,0.6561378536922015,0.6572089958249203,86,43,344,43,36.54121160507202
