Model,Epoch,Total Epochs,Train Loss,Train Acc,Val Loss,Val Acc,Time (s)
MLC-19k,1,10,1.3606,35.96,1.3503,33.93,15.62
MLC-19k,2,10,1.3169,39.47,1.3085,32.14,15.74
MLC-19k,3,10,1.2862,39.47,1.278,41.07,13.44
MLC-19k,4,10,1.2529,41.23,1.2821,37.5,13.7
MLC-19k,5,10,1.2265,44.74,1.2728,39.29,16.14
MLC-19k,6,10,1.1548,51.75,1.2113,42.86,16.48
MLC-19k,7,10,1.1602,50.44,1.2152,51.79,14.67
MLC-19k,8,10,1.1363,58.33,1.1671,58.93,13.75
MLC-19k,9,10,1.0756,59.21,1.121,60.71,13.35
MLC-19k,10,10,1.0566,61.84,1.0905,60.71,13.96
LeNet,1,10,1.3647,30.7,1.2704,41.07,13.27
LeNet,2,10,1.2325,54.82,1.1097,60.71,14.43
LeNet,3,10,1.0061,69.74,0.8459,66.07,13.88
LeNet,4,10,0.6793,68.86,0.8167,69.64,13.86
LeNet,5,10,0.5838,75.0,0.6582,71.43,14.53
LeNet,6,10,0.5608,75.0,0.7232,75.0,14.03
LeNet,7,10,0.4778,80.7,1.0013,67.86,18.65
LeNet,8,10,0.5157,75.0,0.6145,76.79,19.09
LeNet,9,10,0.4426,85.53,0.6284,85.71,18.68
LeNet,10,10,0.4135,85.96,0.5555,80.36,18.81
VGG16,1,10,35.6268,24.12,1.3783,28.57,142.08
VGG16,2,10,1.3721,35.09,1.3774,35.71,154.2
VGG16,3,10,1.3808,27.63,1.3788,28.57,175.09
VGG16,4,10,1.3937,41.23,1.3784,28.57,156.3
VGG16,5,10,1.3509,38.16,1.4065,28.57,108.24
VGG16,6,10,1.3282,38.16,1.4076,28.57,107.0
VGG16,7,10,1.3358,38.16,1.3811,28.57,110.57
VGG16,8,10,1.3599,39.04,1.4941,28.57,222.7
VGG16,9,10,1.4472,38.16,1.3596,28.57,108.79
VGG16,10,10,1.3483,38.6,1.3642,28.57,107.95
ResNet18,1,10,1.2951,50.0,22.2236,19.64,26.83
ResNet18,2,10,0.8691,67.11,2.1269,46.43,23.39
ResNet18,3,10,0.5377,82.46,1.8489,71.43,23.65
ResNet18,4,10,0.532,79.39,0.7268,76.79,23.43
ResNet18,5,10,0.5054,81.14,0.7254,78.57,23.19
ResNet18,6,10,0.5583,78.95,0.8975,78.57,23.54
ResNet18,7,10,0.9035,82.46,0.6349,82.14,23.45
ResNet18,8,10,0.4489,85.53,2.9768,46.43,23.24
ResNet18,9,10,0.4184,85.96,2.431,46.43,23.05
ResNet18,10,10,0.3834,86.84,0.575,80.36,23.06
GoogLeNet,1,10,1.2437,44.74,1.3486,39.29,205.11
GoogLeNet,2,10,0.9841,60.96,1.4717,39.29,29.16
GoogLeNet,3,10,0.8875,59.65,2.4878,17.86,29.38
GoogLeNet,8,10,0.8667,73.25,1.3135,64.29,28.75
GoogLeNet,9,10,0.8714,72.37,1.721,48.21,25.69
GoogLeNet,10,10,0.7429,69.3,0.7589,75.0,26.3
SqueezeNet,1,10,1.397,29.82,1.3529,37.5,12.98
SqueezeNet,2,10,1.3956,35.53,1.3745,37.5,12.91
SqueezeNet,3,10,1.3756,33.77,1.341,37.5,12.99
SqueezeNet,4,10,1.3428,35.96,1.3114,37.5,13.08
SqueezeNet,5,10,1.3723,35.09,1.3698,37.5,12.49
SqueezeNet,6,10,1.3798,35.96,1.271,37.5,12.59
SqueezeNet,7,10,1.3208,35.96,1.2202,37.5,12.35
SqueezeNet,8,10,1.2245,35.96,1.1185,37.5,12.75
SqueezeNet,9,10,1.185,38.6,1.2543,35.71,13.15
SqueezeNet,10,10,1.2343,37.28,1.2055,33.93,12.69
MobileNetV2,1,10,1.5281,28.95,1.3046,32.14,14.05
MobileNetV2,2,10,1.5376,34.65,1.2674,41.07,12.98
MobileNetV2,3,10,1.5175,33.33,1.2549,41.07,14.63
MobileNetV2,4,10,1.3881,33.77,1.2915,32.14,12.91
MobileNetV2,5,10,1.5293,36.84,1.2833,32.14,12.98
MobileNetV2,6,10,1.3399,39.04,1.2577,41.07,15.97
MobileNetV2,7,10,1.259,39.91,1.2733,32.14,13.5
MobileNetV2,8,10,1.3993,38.6,1.2924,32.14,14.03
MobileNetV2,9,10,1.4132,38.6,1.3367,32.14,12.97
MobileNetV2,10,10,1.3592,43.42,1.2598,46.43,12.48
EfficientNetB0,1,10,1.5134,33.77,1.3355,39.29,28.79
EfficientNetB0,2,10,1.3183,39.91,1.3514,39.29,28.89
EfficientNetB0,3,10,1.149,47.81,1.3343,39.29,28.56
EfficientNetB0,4,10,0.927,63.6,1.3671,39.29,28.77
EfficientNetB0,5,10,0.8391,67.54,1.3672,39.29,28.21
EfficientNetB0,6,10,0.9033,63.6,1.4199,39.29,28.26
EfficientNetB0,7,10,0.7589,69.74,1.1183,57.14,28.14
